0 60 -30 0.001 0.001 0.1 0.1 0.1 0.1 0.3 0.3
3.25 2.15461 -nan -2192.1 -nan -1589.81 -nan 0.912533 -nan 0.240613 -nan
3.3 1.57956 -nan -2179.68 -nan -1580.04 -nan 0.87497 -nan 0.240453 -nan
3.35 0.960769 -nan -2165 -nan -1568.61 -nan 0.834544 -nan 0.240297 -nan
3.4 0.29364 -nan -2147.89 -nan -1555.39 -nan 0.790959 -nan 0.240147 -nan
3.45 -0.426717 -nan -2128.19 -nan -1540.27 -nan 0.743908 -nan 0.240002 -nan
3.5 -1.20559 -nan -2105.72 -nan -1523.1 -nan 0.693066 -nan 0.239861 -nan
3.55 -2.04878 -nan -2080.27 -nan -1503.71 -nan 0.638077 -nan 0.239725 -nan
3.6 -2.9628 -nan -2051.61 -nan -1481.92 -nan 0.578547 -nan 0.239593 -nan
3.65 -3.9551 -nan -2019.5 -nan -1457.52 -nan 0.514025 -nan 0.239465 -nan
3.7 -5.03436 -nan -1983.63 -nan -1430.27 -nan 0.44398 -nan 0.239341 -nan
3.75 -6.21094 -nan -1943.63 -nan -1399.87 -nan 0.367775 -nan 0.23922 -nan
3.8 -7.49739 -nan -1899.09 -nan -1365.97 -nan 0.284633 -nan 0.239103 -nan
3.85 -8.90909 -nan -1849.47 -nan -1328.14 -nan 0.193591 -nan 0.23899 -nan
3.9 -10.4651 -nan -1794.14 -nan -1285.86 -nan 0.0934547 -nan 0.23888 -nan
3.95 -12.1892 -nan -1732.3 -nan -1238.48 -nan -0.0172739 -nan 0.238773 -nan
4 -14.1111 -nan -1662.96 -nan -1185.21 -nan -0.140465 -nan 0.23867 -nan
4.05 -16.2677 -nan -1584.94 -nan -1125.08 -nan -0.278449 -nan 0.238569 -nan
4.1 -18.7045 -nan -1496.79 -nan -1056.96 -nan -0.434089 -nan 0.238472 -nan
4.15 -21.4765 -nan -1396.84 -nan -979.531 -nan -0.610823 -nan 0.238377 -nan
4.2 -24.6468 -nan -1283.28 -nan -891.478 -nan -0.812589 -nan 0.238285 -nan
4.25 -28.2818 -nan -1154.43 -nan -791.728 -nan -1.04348 -nan 0.238196 -nan
4.3 -32.438 -nan -1009.37 -nan -680.1 -nan -1.30689 -nan 0.23811 -nan
4.35 -37.1345 -nan -849.091 -nan -558.375 -nan -1.60371 -nan 0.238027 -nan
4.4 -42.3083 -nan -678.224 -nan -431.711 -nan -1.92957 -nan 0.237946 -nan
4.45 -47.7608 -nan -506.803 -nan -309.502 -nan -2.27156 -nan 0.237869 -nan
4.5 -53.1378 -nan -349.939 -nan -203.773 -nan -2.60749 -nan 0.237794 -nan
4.55 -58.0008 -nan -223.063 -nan -124.118 -nan -2.91091 -nan 0.237722 -nan
4.6 -61.9886 -nan -134.11 -nan -72.5006 -nan -3.16066 -nan 0.237653 -nan
4.65 -64.9565 -nan -79.7157 -nan -43.2598 -nan -3.34779 -nan 0.237587 -nan
4.7 -66.9839 -nan -49.5779 -nan -27.9862 -nan -3.47594 -nan 0.237523 -nan
4.75 -68.277 -nan -33.4831 -nan -19.9954 -nan -3.55704 -nan 0.237462 -nan
4.8 -69.0614 -nan -24.6603 -nan -15.4974 -nan -3.60535 -nan 0.237404 -nan
4.85 -69.5218 -nan -19.4852 -nan -12.7079 -nan -3.63299 -nan 0.237348 -nan
4.9 -69.7867 -nan -16.1951 -nan -10.8276 -nan -3.64837 -nan 0.237294 -nan
4.95 -69.9366 -nan -13.9453 -nan -9.48025 -nan -3.65668 -nan 0.237242 -nan
5 -70.0192 -nan -12.3175 -nan -8.47315 -nan -3.66091 -nan 0.237193 -nan
5.05 -70.0616 -nan -11.0916 -nan -7.69841 -nan -3.66273 -nan 0.237145 -nan
5.1 -70.0793 -nan -10.1431 -nan -7.09093 -nan -3.66307 -nan 0.237099 -nan
5.15 -70.0808 -nan -9.39638 -nan -6.6087 -nan -3.66245 -nan 0.237055 -nan
5.2 -70.0712 -nan -8.80204 -nan -6.22303 -nan -3.66116 -nan 0.237013 -nan
5.25 -70.0534 -nan -8.32605 -nan -5.91339 -nan -3.6594 -nan 0.236972 -nan
5.3 -70.0293 -nan -7.94382 -nan -5.66457 -nan -3.65727 -nan 0.236933 -nan
5.35 -70.0001 -nan -7.63696 -nan -5.465 -nan -3.65484 -nan 0.236895 -nan
5.4 -69.9666 -nan -7.39136 -nan -5.30568 -nan -3.65216 -nan 0.236859 -nan
5.45 -69.9294 -nan -7.19603 -nan -5.17952 -nan -3.64928 -nan 0.236823 -nan
5.5 -69.8889 -nan -7.04223 -nan -5.08087 -nan -3.6462 -nan 0.23679 -nan
5.55 -69.8454 -nan -6.92297 -nan -5.00516 -nan -3.64296 -nan 0.236757 -nan
5.6 -69.7993 -nan -6.83262 -nan -4.94872 -nan -3.63957 -nan 0.236725 -nan
5.65 -69.7506 -nan -6.7666 -nan -4.90854 -nan -3.63604 -nan 0.236695 -nan
5.7 -69.6996 -nan -6.72117 -nan -4.88217 -nan -3.63237 -nan 0.236665 -nan
5.75 -69.6463 -nan -6.69327 -nan -4.86758 -nan -3.62858 -nan 0.236637 -nan
5.8 -69.591 -nan -6.6804 -nan -4.86313 -nan -3.62468 -nan 0.236609 -nan
5.85 -69.5335 -nan -6.68047 -nan -4.86745 -nan -3.62065 -nan 0.236583 -nan
5.9 -69.4741 -nan -6.69179 -nan -4.87942 -nan -3.61652 -nan 0.236557 -nan
5.95 -69.4128 -nan -6.71295 -nan -4.8981 -nan -3.61228 -nan 0.236532 -nan
6 -69.3495 -nan -6.74279 -nan -4.92274 -nan -3.60792 -nan 0.236508 -nan
6.05 -69.2844 -nan -6.78037 -nan -4.9527 -nan -3.60347 -nan 0.236484 -nan
6.1 -69.2174 -nan -6.8249 -nan -4.98747 -nan -3.5989 -nan 0.236461 -nan
6.15 -69.1485 -nan -6.87573 -nan -5.02664 -nan -3.59424 -nan 0.236439 -nan
6.2 -69.0778 -nan -6.93236 -nan -5.06986 -nan -3.58946 -nan 0.236417 -nan
6.25 -69.0053 -nan -6.99436 -nan -5.11686 -nan -3.58458 -nan 0.236396 -nan
6.3 -68.9309 -nan -7.06141 -nan -5.16743 -nan -3.57959 -nan 0.236376 -nan
6.35 -68.8546 -nan -7.13322 -nan -5.22139 -nan -3.57449 -nan 0.236356 -nan
6.4 -68.7765 -nan -7.20962 -nan -5.27863 -nan -3.56929 -nan 0.236336 -nan
6.45 -68.6964 -nan -7.29045 -nan -5.33905 -nan -3.56397 -nan 0.236317 -nan
6.5 -68.6144 -nan -7.3756 -nan -5.4026 -nan -3.55854 -nan 0.236299 -nan
6.55 -68.5305 -nan -7.46502 -nan -5.46923 -nan -3.55299 -nan 0.236281 -nan
6.6 -68.4446 -nan -7.55867 -nan -5.53894 -nan -3.54733 -nan 0.236263 -nan
6.65 -68.3567 -nan -7.65656 -nan -5.61175 -nan -3.54154 -nan 0.236246 -nan
6.7 -68.2668 -nan -7.75871 -nan -5.68767 -nan -3.53564 -nan 0.236229 -nan
6.75 -68.1748 -nan -7.86518 -nan -5.76676 -nan -3.52961 -nan 0.236213 -nan
6.8 -68.0807 -nan -7.97604 -nan -5.84908 -nan -3.52345 -nan 0.236197 -nan
6.85 -67.9844 -nan -8.09138 -nan -5.93471 -nan -3.51717 -nan 0.236181 -nan
6.9 -67.886 -nan -8.21133 -nan -6.02372 -nan -3.51076 -nan 0.236165 -nan
6.95 -67.7853 -nan -8.336 -nan -6.11624 -nan -3.50421 -nan 0.23615 -nan
7 -67.6824 -nan -8.46556 -nan -6.21236 -nan -3.49752 -nan 0.236135 -nan
7.05 -67.5771 -nan -8.60016 -nan -6.31222 -nan -3.49069 -nan 0.23612 -nan
7.1 -67.4695 -nan -8.73999 -nan -6.41595 -nan -3.48371 -nan 0.236106 -nan
7.15 -67.3594 -nan -8.88524 -nan -6.52371 -nan -3.47659 -nan 0.236091 -nan
7.2 -67.2469 -nan -9.03613 -nan -6.63566 -nan -3.46932 -nan 0.236077 -nan
7.25 -67.1318 -nan -9.1929 -nan -6.75197 -nan -3.46189 -nan 0.236064 -nan
7.3 -67.0142 -nan -9.35579 -nan -6.87283 -nan -3.4543 -nan 0.23605 -nan
7.35 -66.8938 -nan -9.52508 -nan -6.99845 -nan -3.44655 -nan 0.236037 -nan
7.4 -66.7708 -nan -9.70104 -nan -7.12904 -nan -3.43863 -nan 0.236024 -nan
