0 60 57 0.001 0.001 0.1 0.1 0.1 0.1 0.3 0.3 0.178 0.178 0 0
0.05 35.0228 33.9621 0.00275665 0.00199766 0.245127 0.220684 3.24638 3.40781 0.297074 0.297074 0 0 1 1
0.1 27.2578 24.8708 0.00315487 0.00216214 -0.103544 -0.0927191 2.75593 2.68674 0.294292 0.294291 0 0 1 1
0.15 25.2051 22.0717 0.00320887 0.00205948 -0.0754188 -0.138272 2.76484 2.54785 0.291647 0.291645 0 0 1 1
0.2 24.3129 21.0796 0.00317151 0.00188631 -0.061127 -0.139216 2.75737 2.51055 0.289133 0.289129 0 0 1 1
0.25 23.3297 20.2282 0.00307222 0.00168354 -0.0900577 -0.149865 2.68789 2.44976 0.286743 0.286737 0 0 1 1
0.3 22.0283 19.0767 0.00289572 0.00144696 -0.145211 -0.1747 2.57627 2.35155 0.284471 0.284462 0 0 1 1
0.35 20.4339 17.5873 0.00262584 0.00116534 -0.213487 -0.209161 2.43911 2.22421 0.282311 0.282299 0 0 1 1
0.4 18.6134 15.8218 0.00225294 0.000830259 -0.287432 -0.248833 2.28616 2.07694 0.280258 0.280241 0 0 1 1
0.45 16.6277 13.8514 0.00177339 0.00043732 -0.36272 -0.290616 2.12328 1.91661 0.278306 0.278284 0 0 1 1
0.5 14.5243 11.7353 0.00118791 -1.459e-05 -0.436678 -0.33245 1.95434 1.74809 0.27645 0.276422 0 0 1 1
0.55 12.3396 9.51946 0.000500206 -0.000509596 -0.507598 -0.372986 1.78204 1.57483 0.274684 0.27465 0 0 1 1
0.6 10.101 7.23834 -0.000284296 -0.000566504 -0.574398 -0.411356 1.60834 1.39934 0.273005 0.272965 0 0 1 1
0.65 7.8291 4.91796 -0.000875705 -0.000619864 -0.636426 -0.447023 1.43465 1.22342 0.271407 0.271361 0 0 1 1
0.7 5.53975 2.57776 -0.000961324 -0.000669086 -0.693337 -0.479688 1.26199 1.04835 0.269886 0.269834 0 0 1 1
0.75 3.24481 0.232194 -0.00103945 -0.000713866 -0.745 -0.509215 1.09108 0.875037 0.268439 0.268382 0 0 1 1
0.8 0.953099 -2.1082 -0.00111002 -0.000754099 -0.791438 -0.535586 0.922411 0.704095 0.267061 0.266999 0 0 1 1
0.85 -1.32894 -4.4359 -0.00117314 -0.000789822 -0.832778 -0.558863 0.756306 0.535912 0.26575 0.265684 0 0 1 1
0.9 -3.59677 -6.74581 -0.00122907 -0.000821168 -0.869224 -0.579166 0.592944 0.370705 0.264502 0.264432 0 0 1 1
0.95 -5.84743 -9.03481 -0.00127812 -0.000848337 -0.901026 -0.596649 0.432401 0.208558 0.263314 0.26324 0 0 1 1
1 -8.07928 -11.3014 -0.00132069 -0.00087157 -0.928466 -0.611492 0.274663 0.0494392 0.262183 0.262105 0 0 1 1
1.05 -10.2918 -13.5458 -0.00135719 -0.00089114 -0.951844 -0.623891 0.119644 -0.106776 0.261106 0.261025 0 0 1 1
1.1 -12.4857 -15.7692 -0.00138806 -0.000907335 -0.971473 -0.634052 -0.0328096 -0.260303 0.260081 0.259997 0 0 1 1
1.15 -14.6625 -17.9748 -0.00141376 -0.00092046 -0.987672 -0.642187 -0.182917 -0.411453 0.259105 0.259019 0 0 1 1
1.2 -16.8251 -20.1672 -0.00143476 -0.000930826 -1.00076 -0.648518 -0.330971 -0.560637 0.258175 0.258087 0 0 1 1
1.25 -18.9777 -22.3527 -0.00145153 -0.000938754 -1.01108 -0.65327 -0.477347 -0.708382 0.25729 0.2572 0 0 1 1
1.3 -21.1263 -24.5401 -0.00146453 -0.000944574 -1.01895 -0.656674 -0.622518 -0.855353 0.256447 0.256356 0 0 1 1
1.35 -23.2784 -26.7405 -0.00147427 -0.000948628 -1.02473 -0.658971 -0.76708 -1.00237 0.255644 0.255552 0 0 1 1
1.4 -25.4442 -28.9679 -0.00148124 -0.000951264 -1.02876 -0.660406 -0.911773 -1.15044 0.254879 0.254786 0 0 1 1
1.45 -27.6364 -31.2392 -0.00148597 -0.000952842 -1.03141 -0.661231 -1.05751 -1.30075 0.254151 0.254057 0 0 1 1
1.5 -29.8709 -33.5749 -0.00148898 -0.000953727 -1.03307 -0.661701 -1.2054 -1.45471 0.253457 0.253362 0 0 1 1
1.55 -32.1668 -35.9979 -0.00149085 -0.000954283 -1.03412 -0.662066 -1.35676 -1.61388 0.252796 0.252701 0 0 1 1
1.6 -34.5469 -38.5333 -0.00149213 -0.000954859 -1.03496 -0.662559 -1.51315 -1.77997 0.252166 0.252071 0 0 1 1
1.65 -37.0368 -41.2057 -0.0014934 -0.000955762 -1.03599 -0.66337 -1.67629 -1.95463 0.251566 0.251471 0 0 1 0
1.7 -39.6638 -44.0352 -0.00149519 -0.000957218 -1.03754 -0.664614 -1.84802 -2.13918 0.250994 0.2509 0 0 1 0
1.75 -42.4536 -47.0293 -0.00149794 -0.000959298 -1.0399 -0.666269 -2.03004 -2.33413 0.250449 0.250355 0 0 0 0
1.8 -45.4241 -50.1722 -0.00150195 -0.000961827 -1.04316 -0.668098 -2.22353 -2.53838 0.249929 0.249837 0 0 0 0
1.85 -48.5749 -53.4104 -0.00150717 -0.000964264 -1.04714 -0.669575 -2.42844 -2.74837 0.249434 0.249342 0 0 0 0
1.9 -51.8725 -56.6417 -0.00151303 -0.000965618 -1.05122 -0.669849 -2.64253 -2.95731 0.248962 0.248871 0 0 0 0
1.95 -55.2337 -59.7178 -0.00151824 -0.000964482 -1.0542 -0.66784 -2.86025 -3.15538 0.248512 0.248423 0 0 0 0
