0 60 -10
0.05 45.8478 -8.61725
0.1 38.7781 -2.27854
0.15 34.9855 12.0479
0.2 32.3072 32.3794
0.25 29.8595 47.3133
0.3 27.3533 51.3361
0.35 24.7256 51.5268
0.4 21.9879 50.3186
0.45 19.1715 47.108
0.5 16.3087 39.5562
0.55 13.4276 23.0589
0.6 10.5511 -7.11036
0.65 7.69652 46.0917
0.7 4.8771 41.8334
0.75 2.10209 36.1815
0.8 -0.622303 30.0235
0.85 -3.29237 24.8978
0.9 -5.90639 22.1574
0.95 -8.46429 22.0898
1 -10.9673 23.8417
1.05 -13.418 26.0996
1.1 -15.82 27.8023
1.15 -18.1782 28.4542
1.2 -20.4991 28.0536
1.25 -22.7907 26.8509
1.3 -25.063 25.1376
1.35 -27.3284 23.1397
1.4 -29.6015 20.9987
1.45 -31.8997 18.7914
1.5 -34.2425 16.5558
1.55 -36.6514 14.3106
1.6 -39.1486 12.0654
1.65 -41.7542 9.82565
1.7 -44.4826 7.59513
1.75 -47.3359 5.37644
1.8 -50.2951 3.17152
1.85 -53.3108 0.981713
1.9 -56.2964 -1.19213
1.95 -59.1336 -3.34962
2 -61.6927 -5.49085
2.05 -63.8673 -7.61635
2.1 -65.6053 -9.72716
2.15 -66.9172 -11.8249
2.2 -67.86 -13.9118
2.25 -68.511 -15.991
2.3 -68.9457 -18.0666
2.35 -69.2269 -20.1442
2.4 -69.4018 -22.2309
2.45 -69.5043 -24.3358
2.5 -69.5576 -26.4707
2.55 -69.5775 -28.6505
2.6 -69.5744 -30.8935
2.65 -69.5556 -33.2217
2.7 -69.5256 -35.6613
2.75 -69.4877 -38.2415
2.8 -69.4441 -40.9925
2.85 -69.3962 -43.9406
2.9 -69.345 -47.0989
2.95 -69.2912 -50.452
3 -69.2353 -53.9356
3.05 -69.1777 -57.4188
3.1 -69.1185 -60.7063
3.15 -69.0579 -63.5822
3.2 -68.9961 -65.8862
3.25 -68.933 -67.574
3.3 -68.8689 -68.7146
3.35 -68.8037 -69.4357
3.4 -68.7375 -69.8673
3.45 -68.6703 -70.1128
3.5 -68.6021 -70.2437
3.55 -68.533 -70.3057
3.6 -68.4629 -70.3265
3.65 -68.3918 -70.3229
3.7 -68.3198 -70.3044
3.75 -68.2469 -70.2767
3.8 -68.1731 -70.2433
3.85 -68.0984 -70.206
3.9 -68.0227 -70.1661
3.95 -67.9462 -70.1242
4 -67.8688 -70.0808
4.05 -67.7905 -70.0361
4.1 -67.7114 -69.9902
4.15 -67.6314 -69.9433
4.2 -67.5506 -69.8955
4.25 -67.4689 -69.8466
4.3 -67.3864 -69.7969
4.35 -67.3031 -69.7462
4.4 -67.219 -69.6946
4.45 -67.1341 -69.6421
4.5 -67.0485 -69.5887
4.55 -66.9621 -69.5344
4.6 -66.8749 -69.4791
4.65 -66.787 -69.423
4.7 -66.6984 -69.3659
4.75 -66.6091 -69.3079
4.8 -66.5191 -69.249
