0 60 -10 0.001 0.001 0.1 0.1 0.3 0.3
0.05 45.8864 -8.9529 0.171315 -3.89282 -4.47462 -0.221663 0.297073 0.297073
0.1 38.7137 -3.0013 -1.95752 -4.82432 -3.89197 -0.676517 0.294289 0.294289
0.15 34.8209 10.9253 -4.63012 -5.41233 -3.59469 -1.75566 0.291641 0.291641
0.2 32.0704 31.219 -6.03429 -5.69484 -3.37585 -3.34349 0.289121 0.289121
0.25 29.5692 46.8048 -7.00146 -5.31925 -3.16771 -4.69338 0.286724 0.286724
0.3 27.0178 51.295 -7.81854 -3.86618 -2.95358 -5.25285 0.284443 0.284443
0.35 24.3472 51.612 -8.60077 -3.02978 -2.73194 -5.24413 0.282274 0.282274
0.4 21.5667 50.5664 -9.3843 -3.3357 -2.50507 -5.32675 0.28021 0.28021
0.45 18.7066 47.7925 -10.1743 -4.62986 -2.27577 -5.71132 0.278246 0.278246
0.5 15.7992 41.4583 -10.965 -7.89165 -2.04652 -6.78427 0.276377 0.276377
0.55 12.8727 28.018 -11.747 -15.4697 -1.81933 -9.3415 0.2746 0.2746
0.6 9.95011 3.35703 -12.51 -31.3639 -1.59568 -14.6044 0.272909 0.272909
0.65 7.04929 -10.9419 -13.2432 -59.1902 -1.37665 -23.4222 0.271299 0.271299
0.7 4.18359 47.7091 -13.935 -51.3427 -1.16299 -27.0701 0.269768 0.269768
0.75 1.36265 46.3639 -14.5728 -3.51276 -0.95513 -4.15825 0.268311 0.268311
0.8 -1.40682 44.8729 -15.1418 -3.92279 -0.753332 -4.04404 0.266925 0.266925
0.85 -4.12047 43.2506 -15.6244 -4.38314 -0.557676 -3.92723 0.265606 0.265606
0.9 -6.77566 41.5212 -15.999 -4.88302 -0.368136 -3.80488 0.264351 0.264351
0.95 -9.3711 39.7102 -16.2398 -5.40513 -0.184603 -3.67349 0.263157 0.263157
1 -11.9065 37.8357 -16.3162 -5.93448 -0.00691233 -3.53126 0.262021 0.262021
1.05 -14.3827 35.9048 -16.1945 -6.46504 0.165158 -3.37915 0.26094 0.260939
1.1 -16.8015 33.9172 -15.8411 -6.99998 0.331893 -3.22013 0.259911 0.25991
1.15 -19.1664 31.872 -15.2292 -7.54663 0.493675 -3.05757 0.258931 0.258931
1.2 -21.4833 29.7717 -14.348 -8.11094 0.651026 -2.89391 0.258 0.257999
1.25 -23.761 27.6228 -13.2132 -8.69493 0.804668 -2.73046 0.257113 0.257112
1.3 -26.0122 25.4339 -11.8736 -9.29711 0.95556 -2.56767 0.256269 0.256268
1.35 -28.2534 23.2144 -10.408 -9.91416 1.10491 -2.40562 0.255465 0.255465
1.4 -30.5044 20.9726 -8.91175 -10.5424 1.25415 -2.24433 0.254701 0.2547
1.45 -32.7879 18.716 -7.4761 -11.1785 1.40488 -2.08387 0.253973 0.253973
1.5 -35.1284 16.4509 -6.16957 -11.8198 1.55877 -1.92436 0.253281 0.25328
1.55 -37.5509 14.1825 -5.0295 -12.4641 1.71756 -1.76595 0.252621 0.252621
1.6 -40.0794 11.9152 -4.06422 -13.1097 1.88285 -1.60879 0.251994 0.251993
1.65 -42.7346 9.65247 -3.26181 -13.755 2.05604 -1.45299 0.251396 0.251396
1.7 -45.5287 7.39733 -2.6003 -14.399 2.23793 -1.29866 0.250828 0.250827
1.75 -48.4587 5.15199 -2.05568 -15.0404 2.42831 -1.14586 0.250286 0.250286
1.8 -51.4963 2.91813 -1.60687 -15.6786 2.62528 -0.99463 0.249771 0.249771
1.85 -54.5782 0.696853 -1.2378 -16.3126 2.82462 -0.844977 0.24928 0.24928
1.9 -57.6016 -1.51124 -0.937404 -16.9419 3.01954 -0.69688 0.248813 0.248813
1.95 -60.4339 -3.70605 -0.698055 -17.5657 3.20132 -0.550288 0.248368 0.248368
2 -62.9416 -5.888 -0.513392 -18.1832 3.36125 -0.405123 0.247945 0.247944
2.05 -65.0282 -8.058 -0.376361 -18.7936 3.49311 -0.261277 0.247541 0.247541
2.1 -66.6617 -10.2176 -0.278493 -19.3956 3.59495 -0.118609 0.247157 0.247157
2.15 -67.873 -12.3689 -0.2106 -19.9873 3.66896 0.0230615 0.246791 0.246791
2.2 -68.7328 -14.5148 -0.164142 -20.5661 3.71992 0.163964 0.246443 0.246442
2.25 -69.323 -16.6594 -0.132243 -21.1276 3.75333 0.304387 0.246111 0.24611
2.3 -69.7177 -18.8076 -0.109966 -21.665 3.77412 0.444693 0.245795 0.245794
2.35 -69.9755 -20.9662 -0.0940186 -22.1678 3.78619 0.58534 0.245494 0.245493
2.4 -70.1396 -23.1434 -0.0822942 -22.6184 3.79236 0.726899 0.245207 0.245206
2.45 -70.2399 -25.3497 -0.0734616 -22.989 3.7946 0.870072 0.244933 0.244933
2.5 -70.297 -27.5977 -0.0666709 -23.2346 3.79423 1.0157 0.244673 0.244672
2.55 -70.3246 -29.9021 -0.0613673 -23.2834 3.79215 1.16478 0.244424 0.244424
2.6 -70.3321 -32.2791 -0.0571775 -23.0245 3.78894 1.31838 0.244188 0.244187
2.65 -70.3257 -34.7466 -0.0538417 -22.2967 3.78501 1.47768 0.243962 0.243961
2.7 -70.3094 -37.3231 -0.0511735 -20.896 3.78061 1.64386 0.243747 0.243746
2.75 -70.2862 -40.0306 -0.0490354 -18.6376 3.77592 1.81828 0.243542 0.243541
2.8 -70.2579 -42.8967 -0.047323 -15.5068 3.77106 2.0026 0.243347 0.243346
2.85 -70.2259 -45.9519 -0.0459562 -11.8251 3.7661 2.19878 0.24316 0.24316
