0 60 -30 0.001 0.001 0.1 0.1 0.1 0.1 0.3 0.3 0.178 0.178
0.05 45.9801 -28.6709 0.00339703 -0.00188922 1.1814 -1.93555 4.47847 -1.32135 0.297074 0.297073 0.000771746 0.000173455
0.1 38.955 -25.7175 0.00482607 -0.00266967 0.746267 -1.75788 3.90899 -1.07882 0.294292 0.294288 0.00284784 0.000784337
0.15 35.1707 -19.9997 0.00577619 -0.00235869 0.536787 -1.49883 3.62165 -0.625654 0.291649 0.291638 0.00610735 0.0021589
0.2 32.4886 -9.87917 0.00644277 -0.00190197 0.389655 -1.11566 3.40839 0.160491 0.289138 0.289116 0.0104407 0.00508449
0.25 30.0343 6.55257 0.00689089 -0.00123359 0.255916 -0.563128 3.20369 1.42301 0.286752 0.286716 0.0156833 0.0111072
0.3 27.5215 28.194 0.00714065 -0.000339285 0.124975 0.111205 2.99228 3.0846 0.284487 0.284432 0.0216529 0.0219958
0.35 24.888 45.365 0.00720031 0.000536842 -0.00346814 0.650262 2.77323 4.50062 0.282336 0.282259 0.0281707 0.0368246
0.4 22.1454 51.0034 0.00707698 0.00153035 -0.127605 0.869322 2.54902 5.13703 0.280294 0.280192 0.0350688 0.0519436
0.45 19.3249 51.6676 0.00677945 0.00259139 -0.245631 0.846436 2.32248 5.13268 0.278355 0.278227 0.0421931 0.0652984
0.5 16.4589 51.0256 0.00631838 0.00361661 -0.3562 0.828539 2.09609 5.14293 0.276514 0.276358 0.0494043 0.0802094
0.55 13.5753 49.3113 0.00570582 0.00459394 -0.458455 0.866368 1.87181 5.32254 0.274767 0.274582 0.0565781 0.0986154
0.6 10.6969 45.8844 0.00495466 0.00552638 -0.55195 1.00171 1.65111 5.81949 0.273108 0.272895 0.0636045 0.123766
0.65 7.84122 39.6126 0.00407814 0.00642319 -0.636558 1.30507 1.43505 6.89442 0.271532 0.271294 0.0703868 0.162425
0.7 5.02136 29.3816 0.0030894 0.00729493 -0.712398 1.84978 1.22433 8.85205 0.270035 0.269773 0.0768398 0.225245
0.75 2.24658 15.41 0.00200128 0.00814315 -0.779755 2.64087 1.01939 11.7999 0.268613 0.268331 0.0828888 0.32244
0.8 -0.476884 1.52844 0.000826036 0.00894702 -0.839035 3.51275 0.82042 15.2428 0.26726 0.266963 0.0884675 0.451175
0.85 -3.14532 -3.41383 -0.000424992 0.00967223 -0.890718 4.12203 0.627481 17.7164 0.265974 0.265667 0.0935173 0.576042
0.9 -5.75698 -0.511673 -0.00131833 0.0102715 -0.935324 3.87796 0.440485 17.0967 0.26475 0.264438 0.097985 0.622289
0.95 -8.31175 3.70696 -0.00137782 0.0107441 -0.973395 3.13592 0.25925 14.5484 0.263585 0.263275 0.101822 0.600082
1 -10.8108 9.4283 -0.00142828 0.0111158 -1.00547 2.45528 0.0835144 12.1313 0.262476 0.262175 0.104984 0.567704
1.05 -13.2566 15.7665 -0.00147049 0.0114037 -1.0321 1.7824 -0.0870488 9.75787 0.261419 0.261134 0.107427 0.521751
1.1 -15.6527 21.545 -0.00150522 0.0116302 -1.0538 1.20944 -0.252833 7.61755 0.260414 0.26015 0.109107 0.470353
1.15 -18.0039 25.8379 -0.00153323 0.0118108 -1.07109 0.767937 -0.414303 5.88142 0.259456 0.259221 0.10998 0.423793
1.2 -20.3163 28.2775 -0.00155524 0.0119529 -1.08447 0.459783 -0.571999 4.61081 0.258544 0.258343 0.109993 0.389446
