0 60 -10 0.5 0.5 0.1 0.1
0.05 45.7225 -8.72206 395659 1.27379e+06 -4.45701 -0.240267
0.1 38.5457 -2.54372 1.53935e+06 2.74267e+06 -3.86074 -0.55208
0.15 34.6904 11.5817 3.14133e+06 4.28531e+06 -3.01072 -1.05703
0.2 32.0023 31.825 5.03732e+06 5.70748e+06 -1.7833 -2.82193
0.25 29.5372 46.996 7.16734e+06 6.71342e+06 -2.27323 -4.24565
0.3 27.0042 51.2381 9.51739e+06 7.32339e+06 -2.33661 -5.06963
0.35 24.3468 51.5035 1.20872e+07 7.8532e+06 -2.35528 -5.39485
0.4 21.5786 50.3946 1.4879e+07 8.39157e+06 -2.33149 -5.82076
0.45 18.7316 47.4479 1.7894e+07 8.93369e+06 -2.26873 -6.61691
0.5 15.8385 40.6346 2.11306e+07 9.43614e+06 -2.17081 -8.3527
0.55 12.9276 25.9995 2.45845e+07 9.79958e+06 -2.04156 -12.2702
0.6 10.0221 -0.897918 2.82483e+07 9.85944e+06 -1.88461 -20.4475
0.65 7.13955 2.42208 3.21114e+07 9.52147e+06 -1.7034 -34.595
0.7 4.29341 -11.2745 3.61599e+07 9.46534e+06 -1.50111 -31.6642
0.75 1.49333 30.4544 4.03759e+07 1.32131e+07 -1.28084 -36.8311
0.8 -1.25398 21.6544 4.4737e+07 1.41906e+07 -1.04574 -13.8378
0.85 -3.94411 13.6974 4.92152e+07 1.52859e+07 -0.799276 -16.6938
0.9 -6.57439 9.13871 5.37758e+07 1.65794e+07 -0.545452 -18.5224
0.95 -9.14347 8.99478 5.83763e+07 1.81338e+07 -0.289059 -18.484
1 -11.6511 12.1651 6.29651e+07 1.99564e+07 -0.0356995 -16.6805
1.05 -14.098 16.7603 6.74816e+07 2.20071e+07 0.208456 -13.9668
1.1 -16.4859 21.103 7.18571e+07 2.42332e+07 0.437297 -11.1824
1.15 -18.8184 24.157 7.60183e+07 2.65966e+07 0.645716 -8.83546
1.2 -21.1006 25.6035 7.98932e+07 2.90826e+07 0.830616 -7.10727
1.25 -23.341 25.6334 8.34193e+07 3.16954e+07 0.991607 -5.94842
1.3 -25.5508 24.6494 8.65523e+07 3.44485e+07 1.1311 -5.20225
