0	-10	0
0.05	-9.19704	-9.32057e-06
0.1	-8.40603	-0.000101032
0.15	-7.62678	-0.000372408
0.2	-6.85912	-0.000904812
0.25	-6.10286	-0.00177744
0.3	-5.3578	-0.00308337
0.35	-4.62375	-0.00494052
0.4	-3.90053	-0.00749972
0.45	-3.18792	-0.0109518
0.5	-2.48572	-0.0155352
0.55	-1.79372	-0.0215437
0.6	-1.11169	-0.0293363
0.65	-0.439366	-0.0393468
0.7	0.223502	-0.0520963
0.75	0.877209	-0.0682055
0.8	1.52207	-0.088409
0.85	2.15844	-0.113571
0.9	2.78671	-0.144704
0.95	3.40732	-0.182984
1	4.02077	-0.229776
1.05	4.6276	-0.286655
1.1	5.22845	-0.355432
1.15	5.82404	-0.438183
1.2	6.41516	-0.537285
1.25	7.00275	-0.655456
1.3	7.58785	-0.795796
1.35	8.17164	-0.961854
1.4	8.75547	-1.15768
1.45	9.34087	-1.38794
1.5	9.92961	-1.65798
1.55	10.5237	-1.97397
1.6	11.1253	-2.34309
1.65	11.7372	-2.77373
1.7	12.3623	-3.27571
1.75	13.0042	-3.86067
1.8	13.6667	-4.54249
1.85	14.3546	-5.33781
1.9	15.0733	-6.26677
1.95	15.8294	-7.35394
2	16.6303	-8.62948
2.05	17.4853	-10.1307
2.1	18.4052	-11.9041
2.15	19.4032	-14.008
2.2	20.4954	-16.5157
2.25	21.7015	-19.5199
2.3	23.0458	-23.1379
2.35	24.5583	-27.5171
2.4	26.2761	-32.842
2.45	28.2452	-39.3382
2.5	30.5218	-47.2724
2.55	33.1736	-56.9392
2.6	36.2792	-68.6217
2.65	39.924	-82.5048
2.7	44.1899	-98.5138
2.75	49.1336	-116.065
2.8	54.7498	-133.785
2.85	60.9242	-149.406
2.9	67.3921	-160.221
2.95	73.7414	-164.254
3	79.4842	-161.56
3.05	84.1787	-154.513
3.1	87.535	-146.687
3.15	89.4503	-141.227
3.2	89.9777	-139.879
3.25	89.2677	-142.954
3.3	87.5171	-149.788
3.35	84.9355	-159.265
3.4	81.7267	-170.173
3.45	78.0782	-181.415
3.5	74.1554	-192.097
3.55	70.0975	-201.559
3.6	66.0165	-209.36
3.65	61.9968	-215.257
3.7	58.0986	-219.161
3.75	54.3607	-221.103
3.8	50.8048	-221.192
3.85	47.4398	-219.585
3.9	44.2647	-216.459
3.95	41.272	-211.985
4	38.449	-206.312
4.05	35.7798	-199.562
4.1	33.2456	-191.824
4.15	30.8256	-183.156
4.2	28.4979	-173.595
4.25	26.2401	-163.162
4.3	24.0298	-151.873
4.35	21.8457	-139.755
4.4	19.6687	-126.86
4.45	17.4833	-113.281
4.5	15.2789	-99.1785
4.55	13.0526	-84.7954
4.6	10.8106	-70.473
4.65	8.57097	-56.6455
4.7	6.36375	-43.806
4.75	4.22995	-32.4363
4.8	2.2169	-22.9123
4.85	0.371071	-15.4147
4.9	-1.27016	-9.88857
4.95	-2.68502	-6.07536
5	-3.86971	-3.60203
5.05	-4.83631	-2.08228
5.1	-5.60776	-1.18818
5.15	-6.21214	-0.678273
5.2	-6.67811	-0.392699
5.25	-7.03199	-0.233652
5.3	-7.29643	-0.144562
5.35	-7.49012	-0.0938976
5.4	-7.62806	-0.0644477
5.45	-7.72212	-0.0468875
5.5	-7.7816	-0.0361459
5.55	-7.81374	-0.0294298
5.6	-7.82417	-0.025171
5.65	-7.81727	-0.022467
5.7	-7.79647	-0.0207841
5.75	-7.76444	-0.0197971
5.8	-7.72327	-0.019302
5.85	-7.67461	-0.0191669
5.9	-7.61976	-0.0193045
5.95	-7.55976	-0.0196553
6	-7.49543	-0.0201782
6.05	-7.42743	-0.0208443
6.1	-7.35627	-0.0216329
6.15	-7.2824	-0.0225293
6.2	-7.20616	-0.0235233
6.25	-7.12782	-0.0246075
6.3	-7.04762	-0.025777
6.35	-6.96575	-0.0270287
6.4	-6.88238	-0.0283609
6.45	-6.79762	-0.0297728
6.5	-6.7116	-0.0312647
6.55	-6.62441	-0.0328376
6.6	-6.53612	-0.034493
6.65	-6.44682	-0.0362329
6.7	-6.35656	-0.0380597
6.75	-6.26539	-0.0399763
6.8	-6.17337	-0.0419859
6.85	-6.08054	-0.0440918
6.9	-5.98693	-0.0462979
6.95	-5.89259	-0.048608
7	-5.79754	-0.0510265
7.05	-5.70183	-0.0535578
7.1	-5.60547	-0.0562066
7.15	-5.5085	-0.0589778
7.2	-5.41094	-0.0618766
7.25	-5.31283	-0.0649084
7.3	-5.21418	-0.0680787
7.35	-5.11503	-0.0713935
7.4	-5.01539	-0.0748587
